#	2	233	1824129	0.000127732194379
$	3	5037	1824129	0.00276131786732
%	4	10790	1824129	0.00591515183411
&	5	39606	1824129	0.021712280217
'	6	100619	1824129	0.0551600243185
(	7	169423	1824129	0.0928788479324
)	8	213580	1824129	0.117086017491
*	9	225041	1824129	0.123369016117
+	10	205113	1824129	0.112444350153
,	11	171209	1824129	0.0938579453536
-	12	140412	1824129	0.0769748192151
.	13	115082	1824129	0.0630887398863
/	14	92064	1824129	0.0504701147781
0	15	71635	1824129	0.0392707971859
1	16	56383	1824129	0.0309095464191
2	17	43644	1824129	0.0239259394484
3	18	33407	1824129	0.0183139459983
4	19	26074	1824129	0.0142939452199
5	20	20110	1824129	0.0110244396093
6	21	16005	1824129	0.00877405051945
7	22	12619	1824129	0.00691782214964
8	23	9855	1824129	0.00540257843606
9	24	7891	1824129	0.00432590019675
:	25	6468	1824129	0.00354580185941
;	26	5216	1824129	0.00285944689219
<	27	4393	1824129	0.00240827266054
=	28	3531	1824129	0.00193571836202
>	29	2881	1824129	0.00157938391419
?	30	2403	1824129	0.00131734104331
@	31	2022	1824129	0.0011084742362
A	32	1671	1824129	0.000916053634365
B	33	1378	1824129	0.000755429029416
C	34	1168	1824129	0.000640305592422
D	35	1008	1824129	0.00055259249757
E	36	868	1824129	0.000475843539574
F	37	739	1824129	0.000405124856849
G	38	596	1824129	0.000326731278325
H	39	531	1824129	0.000291097833541
I	40	446	1824129	0.000244500251901
J	41	426	1824129	0.000233536115044
K	42	325	1824129	0.000178167223919
L	43	300	1824129	0.000164462052848
M	44	260	1824129	0.000142533779135
N	45	247	1824129	0.000135407090178
O	46	170	1824129	9.31951632807e-05
P	47	152	1824129	8.33274401098e-05
Q	48	132	1824129	7.23633032532e-05
R	49	103	1824129	5.64653048112e-05
S	50	79	1824129	4.33083405834e-05
T	51	84	1824129	4.60493747975e-05
U	52	106	1824129	5.81099253397e-05
V	53	78	1824129	4.27601337405e-05
W	54	67	1824129	3.67298584694e-05
X	55	48	1824129	2.63139284557e-05
Y	56	41	1824129	2.24764805559e-05
Z	57	35	1824129	1.9187239499e-05
[	58	41	1824129	2.24764805559e-05
\	59	35	1824129	1.9187239499e-05
]	60	27	1824129	1.48015847563e-05
^	61	32	1824129	1.75426189705e-05
_	62	16	1824129	8.77130948524e-06
`	63	22	1824129	1.20605505422e-05
a	64	17	1824129	9.31951632807e-06
b	65	9	1824129	4.93386158545e-06
c	66	17	1824129	9.31951632807e-06
d	67	13	1824129	7.12668895676e-06
e	68	9	1824129	4.93386158545e-06
f	69	6	1824129	3.28924105696e-06
g	70	13	1824129	7.12668895676e-06
h	71	5	1824129	2.74103421414e-06
i	72	9	1824129	4.93386158545e-06
j	73	7	1824129	3.83744789979e-06
k	74	2	1824129	1.09641368565e-06
l	75	6	1824129	3.28924105696e-06
m	76	4	1824129	2.19282737131e-06
n	77	7	1824129	3.83744789979e-06
o	78	7	1824129	3.83744789979e-06
p	79	3	1824129	1.64462052848e-06
q	80	4	1824129	2.19282737131e-06
r	81	2	1824129	1.09641368565e-06
s	82	1	1824129	5.48206842827e-07
t	83	2	1824129	1.09641368565e-06
v	85	6	1824129	3.28924105696e-06
w	86	1	1824129	5.48206842827e-07
x	87	1	1824129	5.48206842827e-07
{	90	1	1824129	5.48206842827e-07
