0	1.52
50	10.66
100	14.96
150	15.00
200	15.90
250	16.82
300	17.00
350	17.00
400	17.00
450	17.00
500	17.00
550	17.00
600	17.00
650	17.00
700	17.00
750	17.00
800	17.00
850	17.00
900	17.00
950	17.00
1000	17.00
1050	17.00
1100	17.00
1150	17.00
1200	17.00
1250	17.00
1300	17.00
1350	17.00
1400	17.00
1450	17.00
1500	17.00
1550	17.00
1600	17.00
1650	17.00
1700	17.00
1750	17.00
1800	17.00
1850	17.00
1900	17.00
1950	17.00
2000	17.00
2050	17.00
2100	17.00
2150	17.00
2200	16.08
2250	15.40
2300	15.00
2350	15.00
2400	15.00
2450	15.00
2500	15.00
2550	15.00
2600	15.00
2650	15.00
2700	15.00
2750	15.00
2800	15.00
2850	15.00
2900	15.00
2950	15.00
3000	15.00
3050	15.00
3100	15.00
3150	15.00
3200	15.00
3250	15.00
3300	15.00
3350	15.00
3400	15.00
3450	14.20
3500	9.94
