0	3.24
50	10.92
100	13.92
150	14.78
200	15.68
250	17.00
300	17.00
350	17.00
400	17.00
450	17.00
500	17.00
550	17.00
600	17.00
650	17.00
700	17.00
750	17.00
800	17.00
850	17.00
900	17.00
950	17.00
1000	17.00
1050	17.00
1100	17.00
1150	17.00
1200	17.00
1250	17.00
1300	17.00
1350	17.00
1400	17.00
1450	17.00
1500	17.00
1550	17.00
1600	17.00
1650	17.00
1700	17.00
1750	17.00
1800	17.00
1850	17.00
1900	17.00
1950	17.00
2000	17.00
2050	17.00
2100	17.00
2150	16.96
2200	16.00
2250	15.38
2300	15.00
2350	15.00
2400	15.00
2450	15.00
2500	15.00
2550	15.00
2600	15.00
2650	15.00
2700	15.00
2750	15.00
2800	15.00
2850	15.00
2900	15.00
2950	15.00
3000	15.00
3050	14.96
3100	14.00
3150	14.00
3200	14.00
3250	14.00
3300	13.12
3350	12.02
3400	10.44
3450	8.64
3500	6.64
