50	28.0
100	44.0
150	40.0
200	34.0
250	48.0
300	58.0
350	46.0
400	50.0
450	48.0
500	46.0
550	42.0
600	54.0
650	38.0
700	46.0
750	66.0
800	54.0
850	48.0
900	54.0
950	52.0
1000	48.0
1050	52.0
1100	50.0
1150	48.0
1200	54.0
1250	44.0
1300	56.0
1350	70.0
1400	50.0
1450	38.0
1500	44.0
1550	44.0
1600	40.0
1650	44.0
1700	48.0
1750	46.0
1800	40.0
1850	34.0
1900	24.0
1950	50.0
2000	48.0
2050	56.0
2100	42.0
2150	22.0
2200	38.0
2250	38.0
2300	26.0
2350	32.0
2400	34.0
2450	30.0
2500	40.0
2550	44.0
2600	28.0
2650	48.0
2700	40.0
2750	36.0
2800	44.0
2850	34.0
2900	36.0
2950	40.0
3000	38.0
3050	50.0
3100	34.0
3150	48.0
3200	44.0
3250	52.0
3300	38.0
3350	52.0
3400	34.0
3450	36.0
3500	40.0
